"Plan Module","Material","Customer No","Description","Customer Dept","Gender","SO","LI","Order No","Order Qty","Emp","Plan SMV","Date","Plan Efficiency","Qty","Cum Qty","Standard Hours","Cum.Standard Hours","Work Hours","Cum.Work Hours","Section"
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-02",65,364.3,1878.9,86.5,445.9,133,686,1
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-03",65,572.4,2451.3,135.9,581.8,209,895,1
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-04",65,572.4,3023.7,135.9,717.6,209,1104,1
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-05",65,468.3,3492,111.2,828.8,171,1275,1
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-06",65,468.3,3960.3,111.2,939.9,171,1446,1
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-08",65,572.4,4532.7,135.9,1075.8,209,1655,1
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-09",65,572.4,5105.1,135.9,1211.6,209,1864,1
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-10",65,98.5,5203.7,23.4,1235,36,1900,1
"0005-A","7000114977","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",70,8000351260,5372,19,14.24,"2018-01-10",70,168.3,5372,40,1275,57.1,1957.1,1
"0005-A","7000114979","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",100,8000351262,2093,19,14.24,"2018-01-10",70,229,229,54.3,54.3,77.6,77.6,1
"0005-A","7000114979","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",100,8000351262,2093,19,14.24,"2018-01-11",70,616.4,845.4,146.3,200.6,209,286.6,1
"0005-A","7000114979","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",100,8000351262,2093,19,14.24,"2018-01-12",70,504.4,1349.8,119.7,320.3,171,457.6,1
"0006-A","7000114438","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071892",40,8000361651,2417,16,8.739,"2018-01-02",60,383.7,2163.3,55.9,315.1,93.1,525.1,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000360814,2986,16,8.731,"2018-01-02",60,76.7,76.7,11.2,11.2,18.6,18.6,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000360814,2986,16,8.731,"2018-01-03",60,725.7,802.3,105.6,116.8,176,194.6,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000360814,2986,16,8.731,"2018-01-04",60,725.7,1528,105.6,222.4,176,370.6,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000360814,2986,16,8.731,"2018-01-05",60,593.7,2121.8,86.4,308.8,144,514.6,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000360814,2986,16,8.731,"2018-01-06",60,593.7,2715.5,86.4,395.2,144,658.6,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000360814,2986,16,8.731,"2018-01-08",60,270.5,2986,39.4,434.5,65.6,724.2,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000373426,1279,16,8.731,"2018-01-08",60,454.1,454.1,66.1,66.1,110.1,110.1,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000373426,1279,16,8.731,"2018-01-09",60,725.7,1179.8,105.6,171.7,176,286.1,1
"0006-A","7000129803","100018","177010 RIB L/UP SIDCHKST 093 SD 2ZUO VSD","U4/","WOMEN","1000110843",10,8000373426,1279,16,8.731,"2018-01-10",60,99.2,1279,14.4,186.1,24.1,310.2,1
"0006-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373427,1260,16,8.739,"2018-01-10",60,493,493,71.8,71.8,119.7,119.7,1
"0006-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373427,1260,16,8.739,"2018-01-11",60,725,1218,105.6,177.4,176,295.7,1
"0006-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373427,1260,16,8.739,"2018-01-12",60,42,1260,6.1,183.5,10.2,305.9,1
"0006-A","7000113668","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071865",50,8000372520,1926,16,8.739,"2018-01-12",60,550.2,550.2,80.1,80.1,133.6,133.6,1
"0013-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373429,2940,17,8.739,"2018-01-02",60,490.2,946,71.4,137.8,119,229.7,1
"0013-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373429,2940,17,8.739,"2018-01-03",60,770.3,1716.4,112.2,250,187,416.7,1
"0013-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373429,2940,17,8.739,"2018-01-04",60,770.3,2486.7,112.2,362.2,187,603.7,1
"0013-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373429,2940,17,8.739,"2018-01-05",60,453.3,2940,66,428.2,110,713.7,1
"0013-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373430,424,17,8.739,"2018-01-05",60,175.8,175.8,25.6,25.6,42.7,42.7,1
"0013-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373430,424,17,8.739,"2018-01-06",60,248.2,424,36.1,61.8,60.2,102.9,1
"0013-A","7000113669","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071865",40,8000373431,3658,17,8.739,"2018-01-06",60,380.9,380.9,55.5,55.5,92.5,92.5,1
"0013-A","7000113669","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071865",40,8000373431,3658,17,8.739,"2018-01-08",60,770.3,1151.3,112.2,167.7,187,279.5,1
"0013-A","7000113669","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071865",40,8000373431,3658,17,8.739,"2018-01-09",60,770.3,1921.6,112.2,279.9,187,466.5,1
"0013-A","7000113669","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071865",40,8000373431,3658,17,8.739,"2018-01-10",60,630.3,2551.9,91.8,371.7,153,619.5,1
"0013-A","7000113669","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071865",40,8000373431,3658,17,8.739,"2018-01-11",60,770.3,3322.2,112.2,483.9,187,806.5,1
"0013-A","7000113669","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071865",40,8000373431,3658,17,8.739,"2018-01-12",60,335.8,3658,48.9,532.8,81.5,888,1
"0014-A","7000087584","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071260",30,8000346616,616,20,8.56,"2018-01-02",65,232.6,616,33.2,87.9,51.1,135.2,1
"0014-A","7000084629","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071261",40,8000361673,188,20,8.56,"2018-01-02",60,188,188,26.8,26.8,44.7,44.7,1
"0014-A","7000085454","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071246",30,8000361674,307,20,8.56,"2018-01-02",65,198.6,198.6,28.3,28.3,43.6,43.6,1
"0014-A","7000085454","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071246",30,8000361674,307,20,8.56,"2018-01-03",65,108.4,307,15.5,43.8,23.8,67.4,1
"0014-A","7000084628","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071249",40,8000361675,198,20,8.56,"2018-01-03",65,198,198,28.2,28.2,43.5,43.5,1
"0014-A","7000085436","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071246",10,8000373432,196,20,8.56,"2018-01-03",65,196,196,28,28,43,43,1
"0014-A","7000084622","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071249",20,8000373433,291,20,8.56,"2018-01-03",65,291,291,41.5,41.5,63.9,63.9,1
"0014-A","7000084613","100262","WM-WP TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071250",20,8000373434,176,20,8.56,"2018-01-03",65,176,176,25.1,25.1,38.6,38.6,1
"0014-A","7000084626","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071261",30,8000373436,420,20,8.56,"2018-01-03",65,25.4,25.4,3.6,3.6,5.6,5.6,1
"0014-A","7000084626","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071261",30,8000373436,420,20,8.56,"2018-01-04",65,394.6,420,56.3,59.9,86.6,92.2,1
"0014-A","7000084620","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071261",10,8000373435,271,20,8.56,"2018-01-04",65,271,271,38.7,38.7,59.5,59.5,1
"0014-A","7000085445","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071260",20,8000373437,226,20,8.56,"2018-01-04",65,226,226,32.2,32.2,49.6,49.6,1
"0014-A","7000085444","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071246",20,8000373438,353,20,8.56,"2018-01-04",65,106.2,106.2,15.2,15.2,23.3,23.3,1
"0014-A","7000085444","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071246",20,8000373438,353,20,8.56,"2018-01-05",65,246.8,353,35.2,50.4,54.2,77.5,1
"0014-A","7000084615","100262","WM-WP TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071250",30,8000373480,434,20,8.56,"2018-01-05",65,434,434,61.9,61.9,95.3,95.3,1
"0014-A","7000086015","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071246",40,8000373481,589,20,8.56,"2018-01-05",65,136.3,136.3,19.4,19.4,29.9,29.9,1
"0014-A","7000086015","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071246",40,8000373481,589,20,8.56,"2018-01-06",65,452.7,589,64.6,84,99.4,129.3,1
"0014-A","7000084625","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071249",30,8000373439,568,20,8.56,"2018-01-06",65,365.9,365.9,52.2,52.2,80.3,80.3,1
"0014-A","7000084625","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071249",30,8000373439,568,20,8.56,"2018-01-08",65,202.1,568,28.8,81,44.4,124.7,1
